"","Sample","Experiment","Temperature","Treatment","Week","is.neg","Observed","Shannon","InvSimpson","Evenness"
"Mat_10P_TCATTC_","Mat_10P_TCATTC_","Summer",26,"Many Small",1,FALSE,1513,6.34008246605385,189.19042513252,0.865912674240546
"Mat_11P_TCATTC_","Mat_11P_TCATTC_","Summer",26,"Many Small",1,FALSE,1261,5.55498143276572,68.0581739412807,0.77804561721002
"Mat_12P_TCATTC_","Mat_12P_TCATTC_","Summer",26,"ND",1,FALSE,1318,6.16842997877527,190.191086189732,0.858649914988294
"Mat_13P_TCATTC_","Mat_13P_TCATTC_","Summer",22,"HD",3,FALSE,1817,6.87987843133658,565.383569429924,0.916713063023926
"Mat_14P_TCATTC_","Mat_14P_TCATTC_","Summer",22,"HD",3,FALSE,2468,7.11275895990201,611.088852382821,0.910588936538932
"Mat_15P_TCATTC_","Mat_15P_TCATTC_","Summer",22,"HD",3,FALSE,2083,6.44240819605538,106.386134277868,0.84307450988299
"Mat_16P_TCATTC_","Mat_16P_TCATTC_","Summer",22,"Few Large",3,FALSE,1913,6.59515600006296,216.567104840621,0.8727875163682
"Mat_17P_TCATTC_","Mat_17P_TCATTC_","Summer",22,"Few Large",3,FALSE,1839,6.63695563585931,280.651536525061,0.882928794055068
"Mat_18P_TCCCGA_","Mat_18P_TCCCGA_","Summer",22,"Few Large",3,FALSE,1868,6.77838331521779,399.638380076329,0.899870172500099
"Mat_19P_TCCCGA_","Mat_19P_TCCCGA_","Summer",22,"Few Small",3,FALSE,1785,6.73066207496336,399.352173287201,0.898958986374922
"Mat_1P_TATAAT_","Mat_1P_TATAAT_","Summer",22,"HD",1,FALSE,1323,6.04970919205749,106.297062566101,0.841680265756306
"Mat_20P_TCCCGA_","Mat_20P_TCCCGA_","Summer",22,"Few Small",3,FALSE,1512,6.40789009239025,266.363521856691,0.875252705585831
"Mat_21P_TCCCGA_","Mat_21P_TCCCGA_","Summer",22,"Few Small",3,FALSE,2258,6.98012527721507,483.549089368349,0.903899649255942
"Mat_22P_TCCCGA_","Mat_22P_TCCCGA_","Summer",22,"Many Small",3,FALSE,1671,6.4532527804521,196.517977687057,0.869572619114194
"Mat_23P_TCCCGA_","Mat_23P_TCCCGA_","Summer",22,"Many Small",3,FALSE,1600,6.39403449986303,212.190544493718,0.866663519287983
"Mat_24P_TCCCGA_","Mat_24P_TCCCGA_","Summer",22,"Many Small",3,FALSE,1528,6.21742979069651,98.5092020032183,0.848018480855983
"Mat_25P_TCCCGA_","Mat_25P_TCCCGA_","Summer",22,"ND",3,FALSE,1477,6.65235580022137,407.037706818912,0.91156029387026
"Mat_26P_TCCCGA_","Mat_26P_TCCCGA_","Summer",22,"ND",3,FALSE,1451,6.23271839147876,201.606464364859,0.856141665637465
"Mat_27P_TCCCGA_","Mat_27P_TCCCGA_","Summer",22,"ND",3,FALSE,2303,6.85916132521866,223.83220155131,0.885971294892288
"Mat_28P_TCCCGA_","Mat_28P_TCCCGA_","Summer",26,"Few Large",3,FALSE,1666,6.62522494849713,306.339108140798,0.893106424178781
"Mat_29P_TCCCGA_","Mat_29P_TCCCGA_","Summer",26,"Few Large",3,FALSE,2012,6.85489319311175,423.370386962753,0.901143321550155
"Mat_2P_TATAAT_","Mat_2P_TATAAT_","Summer",22,"ND",1,FALSE,1726,6.79811775407107,493.446415723242,0.912062966825847
"Mat_30P_TCGGCA_","Mat_30P_TCGGCA_","Summer",26,"Few Large",3,FALSE,1598,6.46771366928788,224.012520439136,0.876798826562
"Mat_31P_TCGGCA_","Mat_31P_TCGGCA_","Summer",26,"Few Small",3,FALSE,1772,6.72683398807498,356.876804085895,0.899325692300675
"Mat_32P_TCGGCA_","Mat_32P_TCGGCA_","Summer",26,"Few Small",3,FALSE,1471,6.44826865075512,294.739512739686,0.884087728579928
"Mat_33P_TCGGCA_","Mat_33P_TCGGCA_","Summer",26,"Few Small",3,FALSE,1416,6.34097648467513,220.76362709092,0.87394345202106
"Mat_34P_TCGGCA_","Mat_34P_TCGGCA_","Summer",26,"Many Small",3,FALSE,1608,6.73842053481457,461.167702344435,0.912725444479117
"Mat_35P_TCGGCA_","Mat_35P_TCGGCA_","Summer",26,"Many Small",3,FALSE,1500,6.62208751909014,340.209822082942,0.905495413590955
"Mat_36P_TCGGCA_","Mat_36P_TCGGCA_","Summer",26,"Many Small",3,FALSE,1447,6.44884139644119,199.305522918654,0.886164885227323
"Mat_37P_TCGGCA_","Mat_37P_TCGGCA_","Summer",26,"ND",3,FALSE,1073,6.32745985361317,295.90789848125,0.906744918826147
"Mat_38P_TCGGCA_","Mat_38P_TCGGCA_","Summer",26,"ND",3,FALSE,1488,6.40661456969549,215.313973457577,0.876995141096553
"Mat_3P_TATAAT_","Mat_3P_TATAAT_","Summer",26,"Few Large",1,FALSE,2209,6.95057935219782,462.857017696284,0.902638037709346
"Mat_4P_TATAAT_","Mat_4P_TATAAT_","Summer",26,"Few Large",1,FALSE,1954,6.7461102659804,296.848757373364,0.89026606655963
"Mat_5P_TATAAT_","Mat_5P_TATAAT_","Summer",26,"Few Large",1,FALSE,1761,6.57645583273903,298.779264109748,0.879953861455591
"Mat_6P_TCATTC_","Mat_6P_TCATTC_","Summer",26,"Few Small",1,FALSE,1890,6.66717753670289,313.395235381603,0.883733303520079
"Mat_7P_TCATTC_","Mat_7P_TCATTC_","Summer",26,"Few Small",1,FALSE,1651,6.32781541420629,185.467532569274,0.854055727290437
"Mat_8P_TCATTC_","Mat_8P_TCATTC_","Summer",26,"Few Small",1,FALSE,1367,6.18950180556522,130.897381697294,0.857227332757266
"Mat_9P_TCATTC_","Mat_9P_TCATTC_","Summer",26,"Many Small",1,FALSE,1754,6.56049412853679,262.553495011688,0.878286193263153
"MM_Nab_A1_","MM_Nab_A1_","Summer",22,"HD",1,FALSE,2400,7.02564527844778,475.179710211114,0.902665176243394
"MM_Nab_A10_","MM_Nab_A10_","Summer",22,"HD",5,FALSE,2709,7.10224018904603,487.485824233462,0.898524712191029
"MM_Nab_A11_","MM_Nab_A11_","Summer",22,"HD",5,FALSE,2511,7.07783336605304,489.492221110849,0.904118401342498
"MM_Nab_A12_","MM_Nab_A12_","Summer",22,"HD",5,FALSE,1475,6.50756997558126,154.115602832807,0.891886155000481
"MM_Nab_A2_","MM_Nab_A2_","Summer",22,"Few Large",1,FALSE,1910,6.39322942336293,200.045853406712,0.846240787376422
"MM_Nab_A3_","MM_Nab_A3_","Summer",22,"Few Large",1,FALSE,2296,6.83822301143596,362.038659031604,0.883614211196014
"MM_Nab_A4_","MM_Nab_A4_","Summer",22,"Few Small",1,FALSE,2274,6.52538925347447,164.918181990361,0.84424112214553
"MM_Nab_A5_","MM_Nab_A5_","Summer",22,"Few Small",1,FALSE,2598,6.98085594505854,396.828160777023,0.887867527319113
"MM_Nab_A6_","MM_Nab_A6_","Summer",22,"Many Small",1,FALSE,1928,6.66958804376639,229.427630119393,0.881726305385429
"MM_Nab_A7_","MM_Nab_A7_","Summer",22,"Many Small",1,FALSE,2092,6.65683702244015,269.844961343015,0.870644145241431
"MM_Nab_A8_","MM_Nab_A8_","Summer",22,"ND",1,FALSE,1529,6.42287972842296,247.239580215999,0.875962400151553
"MM_Nab_A9_","MM_Nab_A9_","Summer",22,"ND",1,FALSE,2811,6.84085553876577,192.381370026481,0.861428148302111
"MM_Nab_B1_","MM_Nab_B1_","Summer",22,"Few Large",5,FALSE,2522,6.85211008397594,175.347690339848,0.874796178703492
"MM_Nab_B10_","MM_Nab_B10_","Summer",22,"ND",5,FALSE,3005,7.03968023509129,284.337617983046,0.879077342665434
"MM_Nab_B11_","MM_Nab_B11_","Summer",22,"ND",5,FALSE,1651,6.21141524929244,183.050692949053,0.838345372137056
"MM_Nab_B12_","MM_Nab_B12_","Summer",22,"ND",5,FALSE,2916,6.62694917089671,51.6205682681464,0.830656264043539
"MM_Nab_B2_","MM_Nab_B2_","Summer",22,"Few Large",5,FALSE,1502,6.76112849019757,505.943468762565,0.924339278857779
"MM_Nab_B3_","MM_Nab_B3_","Summer",22,"Few Large",5,FALSE,1625,6.28588957553594,94.4296586323263,0.850218569928591
"MM_Nab_B4_","MM_Nab_B4_","Summer",22,"Few Small",5,FALSE,1979,6.90239041645224,461.38016228388,0.909364284125524
"MM_Nab_B5_","MM_Nab_B5_","Summer",22,"Few Small",5,FALSE,2479,6.66962442796299,195.931073109506,0.853372158275422
"MM_Nab_B6_","MM_Nab_B6_","Summer",22,"Few Small",5,FALSE,2453,6.99743839837095,453.984765794328,0.896525085395437
"MM_Nab_B7_","MM_Nab_B7_","Summer",22,"Many Small",5,FALSE,2609,7.04073146205643,403.25320491286,0.895001908909265
"MM_Nab_B8_","MM_Nab_B8_","Summer",22,"Many Small",5,FALSE,2146,6.88134247808946,435.851127450154,0.897017171658168
"MM_Nab_B9_","MM_Nab_B9_","Summer",22,"Many Small",5,FALSE,2894,6.77297284385592,238.887960338504,0.849766281686355
"MM_Nab_C1_","MM_Nab_C1_","Summer",26,"Few Large",5,FALSE,2442,6.90294067627679,414.478950558035,0.884927425442747
"MM_Nab_C10_","MM_Nab_C10_","Summer",26,"ND",5,FALSE,2703,6.70171099868588,203.030160711615,0.848090522500996
"MM_Nab_C11_","MM_Nab_C11_","Summer",26,"ND",5,FALSE,2216,6.72736352898969,308.669255943436,0.873291269180209
"MM_Nab_C12_","MM_Nab_C12_","Summer",26,"ND",5,FALSE,3159,7.16725067418457,430.638652496109,0.889456573261376
"MM_Nab_C2_","MM_Nab_C2_","Summer",26,"Few Large",5,FALSE,2499,7.04597667026673,550.145692605034,0.900600146345678
"MM_Nab_C3_","MM_Nab_C3_","Summer",26,"Few Large",5,FALSE,2071,6.67341694552738,274.512797319993,0.8739658487937
"MM_Nab_C4_","MM_Nab_C4_","Summer",26,"Few Small",5,FALSE,2668,7.05450267318592,527.102598545292,0.894210571114525
"MM_Nab_C5_","MM_Nab_C5_","Summer",26,"Few Small",5,FALSE,2542,6.78609173780408,320.294351325338,0.865494937167299
"MM_Nab_C6_","MM_Nab_C6_","Summer",26,"Few Small",5,FALSE,2329,6.776396812271,319.306932277212,0.874013545435395
"MM_Nab_C7_","MM_Nab_C7_","Summer",26,"Many Small",5,FALSE,2402,6.87061637539532,379.046120157857,0.882652371772866
"MM_Nab_C8_","MM_Nab_C8_","Summer",26,"Many Small",5,FALSE,2019,6.73144256794399,376.061873546322,0.884510676836801
"MM_Nab_C9_","MM_Nab_C9_","Summer",26,"Many Small",5,FALSE,2171,6.83192337474969,414.899710069095,0.88923257971436
