"","Sample","Experiment","Temperature","Treatment","Week","is.neg"
"MM_Inield_1_","MM_Inield_1_","Field",NA,"ND",NA,FALSE
"MM_Inield_10_","MM_Inield_10_","Field",NA,"Many Small",NA,FALSE
"MM_Inield_11_","MM_Inield_11_","Field",NA,"Few Small",NA,FALSE
"MM_Inield_12_","MM_Inield_12_","Field",NA,"Few Small",NA,FALSE
"MM_Inield_2_","MM_Inield_2_","Field",NA,"ND",NA,FALSE
"MM_Inield_3_","MM_Inield_3_","Field",NA,"ND",NA,FALSE
"MM_Inield_4_","MM_Inield_4_","Field",NA,"ND",NA,FALSE
"MM_Inield_5_","MM_Inield_5_","Field",NA,"ND",NA,FALSE
"MM_Inield_6_","MM_Inield_6_","Field",NA,"Many Small",NA,FALSE
"MM_Inield_7_","MM_Inield_7_","Field",NA,"Many Small",NA,FALSE
"MM_Inield_8_","MM_Inield_8_","Field",NA,"Many Small",NA,FALSE
"MM_Inield_9_","MM_Inield_9_","Field",NA,"Many Small",NA,FALSE
"MM_Inield_G1_","MM_Inield_G1_","Field",NA,"Few Small",NA,FALSE
"MM_Inield_G2_","MM_Inield_G2_","Field",NA,"Few Small",NA,FALSE
"MM_Inield_G3_","MM_Inield_G3_","Field",NA,"HD",NA,FALSE
"MM_Inield_G4_","MM_Inield_G4_","Field",NA,"HD",NA,FALSE
"MM_Inield_G5_","MM_Inield_G5_","Field",NA,"HD",NA,FALSE
"MM_Inield_G6_","MM_Inield_G6_","Field",NA,"HD",NA,FALSE
"MM_Inield_G7_","MM_Inield_G7_","Field",NA,"HD",NA,FALSE
