"SampleID","PCoA1","PCoA2","Week","Temperature"
"MM_TEMP_1_",-57.1721006150872,-1.33640493066049,"1","26"
"MM_TEMP_10_",-51.5726753012945,-24.2299874505176,"1","29"
"MM_TEMP_11_",-54.9573100687849,-25.4426359026501,"1","29"
"MM_TEMP_12_",31.0978555683845,-2.90359314090026,"3","29"
"MM_TEMP_2_",-35.9492119314694,-18.2915663986324,"1","26"
"MM_TEMP_3_",-21.6385931405878,43.2124959321057,"3","26"
"MM_TEMP_4_",-43.515235637221,44.9362817467057,"3","26"
"MM_TEMP_5_",-36.544724123888,51.4909619028501,"3","26"
"MM_TEMP_6_",56.3834245960186,20.0903843977804,"5","26"
"MM_TEMP_7_",53.8578552082862,-8.10211331318492,"5","26"
"MM_TEMP_8_",2.59590713022824,13.3214777913798,"5","26"
"MM_TEMP_9_",-14.3307261911149,-60.4748065656106,"1","29"
"MM_TEMP_E12_",-56.2034620655653,10.970704266329,"1","26"
"MM_TEMP_G1_",-25.4810182060228,33.8565012541369,"3","29"
"MM_TEMP_G10_",14.9298783532825,6.89132403271462,"3","31"
"MM_TEMP_G11_",-17.1280300942208,-1.41641626249811,"3","31"
"MM_TEMP_G12_",81.3604254320753,-30.2761320434153,"5","31"
"MM_TEMP_G2_",-35.8699911341102,42.4866645811353,"3","29"
"MM_TEMP_G3_",41.7607065549838,11.5160575589737,"5","29"
"MM_TEMP_G4_",52.2225411850468,26.8611962211875,"5","29"
"MM_TEMP_G5_",45.4508477438078,11.8323233825408,"5","29"
"MM_TEMP_G6_",-42.6737237987819,-44.6435008097099,"1","31"
"MM_TEMP_G7_",-56.0967308974387,-29.2786078959564,"1","31"
"MM_TEMP_G8_",-37.725745569249,-40.4314891681284,"1","31"
"MM_TEMP_G9_",30.6605974040431,-27.8569492873431,"3","31"
"MM_TEMP_H1_",67.280679418053,-31.6430865581519,"5","31"
"MM_TEMP_H10_",29.701925110307,47.7446116442957,"5","33"
"MM_TEMP_H11_",53.7703551328622,2.08735749676427,"5","33"
"MM_TEMP_H2_",50.2058023984464,-23.5233746741738,"5","31"
"MM_TEMP_H3_",-53.4980091745104,-14.2857752639404,"1","33"
"MM_TEMP_H4_",-49.7039441658031,-32.7675702538245,"1","33"
"MM_TEMP_H5_",-54.7587516645586,4.80082314713586,"1","33"
"MM_TEMP_H6_",59.207221594532,-13.3062402868198,"3","33"
"MM_TEMP_H7_",3.90416690387516,44.2133576850757,"3","33"
"MM_TEMP_H8_",-7.67536719969905,26.0951687543767,"3","33"
"MM_TEMP_H9_",78.1051612451753,-12.1974415893696,"5","33"
